FID,OBJECTID,SHAPE,PARK,FLAECHE,TYP,TELEFON,EINFRIEDUNG,WEBLINK1,SE_ANNO_CAD_DATA
HUNDEZONEOGD.94389,94389,POINT (16.406137199575504 48.16410490543551),Parkanlage Löwygrube,222433 m²,Hundeauslaufplatz,01 4000 8042,keine Einfriedung,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94390,94390,POINT (16.394214414457856 48.2733311828853),Denglerpark,2691 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94391,94391,POINT (16.38855470938943 48.25737894947396),Floridsdorfer Aupark,2502 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94392,94392,POINT (16.324641675704164 48.22516494458259),Lidlpark,1215 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94393,94393,POINT (16.35925112245928 48.1720783803397),Fortunapark,400 m²,Hundezone,01 4000 8042,"Stabilgitterzaun 1,3 m",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94394,94394,POINT (16.353903078370873 48.174861071242255),Martin-Luther-King-Park,734 m²,Hundezone,01 4000 8042,"Stabilgitterzaun 1m,1,8 m, Ziegelmauer 2 m",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94395,94395,POINT (16.298527136733313 48.147696230864526),Parkanlage Riegermühle,704 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m 4 Schwingflügeltüren,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94396,94396,POINT (16.35029430255721 48.23265428010613),Währinger Park,4483 m²,Hundezone,01 4000 8042,"Maschendrahtzaun 1m, Ziegelmauer 2,5m",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94397,94397,POINT (16.34836659839509 48.245276462339945),Saarpark,1292 m²,Hundezone,01 4000 8042,"Gitterzaun 1,6 m teilweise",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94398,94398,POINT (16.3391346618781 48.24486705733371),Olympiapark,3582 m²,Hundezone,01 4000 8042,Gitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94399,94399,POINT (16.337528286149976 48.23445176587006),Türkenschanzpark (Gregor-Mendel-Straße),1374 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94400,94400,POINT (16.329932600967318 48.234261061555955),Türkenschanzpark (Hasenauerstraße),1844 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94401,94401,POINT (16.438630553131016 48.232089985957785),Lagerwiese Rehlacke,4355 m²,Hundezone,01 4000 8042,eingezäunt,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94402,94402,POINT (16.37801620270419 48.170513054747694),Antonspark,957 m²,Hundezone,01 4000 8042,keine Einfriedung,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94403,94403,POINT (16.377484042838415 48.170557349713185),Antonspark,730 m²,Hundezone,01 4000 8042,keine Einfriedung,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94404,94404,POINT (16.375202309746474 48.17893434917446),Parkanlage Keplerplatz,297 m²,Hundezone,01 4000 8042,Stabilgitterzaun mit 2 Toren,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94405,94405,POINT (16.462224595007253 48.15673205150993),Hofgartel,1961 m²,Hundezone,01 4000 8042,"Gitterzaun, Holzzaun 1-5m",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94406,94406,POINT (16.333203478135527 48.18936286538523),Parkanlage Kranzgasse,635 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m 2 Schwingflügeltüren,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94407,94407,POINT (16.37816962216694 48.24870033191785),Schmetterlingspark,385 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94408,94408,POINT (16.4375848016339 48.249356084382875),Parkanlage Schrickgasse,798 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m 2 Schwingflügeltüren 1 Tor,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94409,94409,POINT (16.303685927167628 48.16998133664308),Parkanlage Fasangartengasse,896 m²,Hundezone,01 4000 8042,"Stabilgitterzaun 1m 2 Schwingflügeltüren, 1 Tor",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94410,94410,POINT (16.480519740064 48.220273007670365),Grünanlage Aspernstraße,323 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m 2 Schwingflügeltüren,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94411,94411,POINT (16.333211594070942 48.239533260917085),Hugo-Wolf-Park,8169 m²,Hundeauslaufplatz,01 4000 8042,keine Einfriedung,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94412,94412,POINT (16.30197257630076 48.196192351508174),Matzner-Park,5584 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94413,94413,POINT (16.330510472652744 48.19844413687685),Reithofferpark,671 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m 2 Schwingflügeltüren 2 Tore,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94414,94414,POINT (16.339829977793936 48.212795604992685),Hernalser Gürtel 2,672 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94415,94415,POINT (16.428878104344506 48.169477439596214),Parkanlage Blériotgasse,1850 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94416,94416,POINT (16.4477655571944 48.27239862421664),Parkanlage Gitlbauergasse,1983 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94417,94417,POINT (16.45001369321029 48.28713841730587),Parkanlage Illgasse,1193 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94377,94377,POINT (16.28542464820289 48.194968543813346),Gustav-Klimt-Park,179 m²,Hundezone,01 4000 8042,"Stabilgitterzaun 1m 1 Schwingflügeltür, 1 Tor",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94378,94378,POINT (16.47687679319577 48.21325792599666),Parkanlage Asperner Wies´n,1313 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94379,94379,POINT (16.423841546464118 48.2777516252551),Parkanlage Pfendlergasse,965 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m 2 Schwingflügeltüren 1 Tor,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94380,94380,POINT (16.30907558375052 48.1878265697868),Hadikpark,17988 m²,Hundeauslaufplatz,01 4000 8042,"Stabilgitterzaun 1m 3 Schwingflügeltüren 3 Tore, Wienflußgeländer",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94381,94381,POINT (16.339520021364333 48.172482121372674),Unter-Meidlinger Straße,2058 m²,Hundeauslaufplatz,01 4000 8042,keine Angabe,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94382,94382,POINT (16.287017099465917 48.15193368185283),Parkanlage Pölleritzergasse,4191 m²,Hundeauslaufplatz,01 4000 8042,"Stabilgitterzaun 1m , Chestnutzaun",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94383,94383,POINT (16.41687229797557 48.215646704953485),Parkanlage Offenbachgasse,1608 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94384,94384,POINT (16.414924137720043 48.21462365349107),Parkanlage Engerthstraße,798 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94385,94385,POINT (16.267895069906498 48.19618903316883),Parkanlage Cossmanngasse,2058 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m 2 Schwingflügeltüren,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94386,94386,POINT (16.31268411632047 48.13102696247046),Parkanlage Siedlung Wienerflur ,1239 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94387,94387,POINT (16.276510828821 48.13680111839953),Herbert-Mayr-Park,2676 m²,Hundeauslaufplatz,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94388,94388,POINT (16.28244347435851 48.14581603021973),Fridtjof-Nansen-Park,1610 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m 3 Schwingflügeltüren,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94458,94458,POINT (16.319141233479005 48.19693835567791),Forschneritschpark,651 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m 2 Schwingflügeltüren,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94459,94459,POINT (16.350519129849587 48.18284995811661),Ernst-Lichtblau-Park,238 m²,Hundezone,01 4000 8042,keine Einfriedung,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94460,94460,POINT (16.35566068370872 48.18147600546866),Parkanlage Leopold-Rister-Gasse,354 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94461,94461,POINT (16.362598610733514 48.184821509247364),Klieberpark,101 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94462,94462,POINT (16.3634766245338 48.18801109446679),Rudolf-Sallinger-Park,182 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94463,94463,POINT (16.3548115257786 48.18745617065349),Bacherpark,354 m²,Hundezone,01 4000 8042,"Metallzaun 1m, Metallzaun 0,6 m",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94464,94464,POINT (16.354539469365474 48.19479126965552),Ernst-Arnold-Park,364 m²,Hundezone,01 4000 8042,keine Einfriedung,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94465,94465,POINT (16.343241976401366 48.186849305175606),Parkanlage Mittelzone (Margaretengürtel),463 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94466,94466,POINT (16.348653559573453 48.18079424256957),Parkanlage Mittelzone (Gaudenzdorfer Gürtel),2933 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94467,94467,POINT (16.356454532884086 48.20566255451668),Weghuberpark,239 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94468,94468,POINT (16.351119661171943 48.21241061281588),Schönbornpark,1117 m²,Hundezone,01 4000 8042,Stabilgitterzaun 2 m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94469,94469,POINT (16.34475330337862 48.211196012004116),Hamerlingpark,319 m²,Hundezone,01 4000 8042,"Stabilgitterzaun 1m, Holzzaun 1m",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94470,94470,POINT (16.353904793132696 48.22153190492011),Arne-Carlsson-Park,623 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94471,94471,POINT (16.358362617988217 48.22631064141469),Lichtentalerpark,701 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94472,94472,POINT (16.328444788535204 48.18992310198684),Dadlerpark,1874 m²,Hundezone,01 4000 8042,"Stabilgitterzaun 1 m, Maschendrahtzaun 2 m, 1 Schwingflügeltür",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94473,94473,POINT (16.31650228653397 48.18812639449547),Auer-Welsbach-Park,10064 m²,Hundeauslaufplatz,01 4000 8042,Stahlpollerabgrenzung 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94474,94474,POINT (16.332603961242075 48.20401838101965),Vogelweidpark,2059 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94475,94475,POINT (16.334596519069702 48.17885265609874),Parkanlage Vierthalergasse,707 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m 2 Schwingflügeltüren,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94476,94476,POINT (16.32786936438963 48.1568327241765),Parkanlage Lichtensterngasse,9368 m²,Hundeauslaufplatz,01 4000 8042,keine Einfriedung,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94477,94477,POINT (16.31668145052767 48.17856409179806),Parkanlage Steinweisweg,922 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m 3 Schwingflügeltüren,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94478,94478,POINT (16.374740970505723 48.21564196717142),Wilhelm-Kienzl-Park,3653 m²,Hundeauslaufplatz,01 4000 8042,keine Einfriedung,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94479,94479,POINT (16.371975044223984 48.15896971948552),Parkanlage Heuberggstätten,136406 m²,Hundeauslaufplatz,01 4000 8042,keine Einfriedung,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94480,94480,POINT (16.425635678789114 48.176685342001214),Parkanlage Lautenschlägergasse,997 m²,Hundezone,01 4000 8042,"Stabilgitterzaun 1m und 1,6m",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94481,94481,POINT (16.418208705743957 48.16886143479013),Parkanlage Haugerstraße,399 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m und 4m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94482,94482,POINT (16.499098451628047 48.22259889286566),Madame-d' Ora-Park,1000 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94483,94483,POINT (16.509930526856238 48.22578125397978),Seepark,2942 m²,Hundezone,01 4000 8042,"Stabilgitterzaun 1m, Chestnutzaun 90cm",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94484,94484,POINT (16.291122665015706 48.13837026861807),Parkanlage Gaulgasse,6522 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m 3 Schwingflügeltüren,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94485,94485,POINT (16.361616975041162 48.19808876436009),Alfred-Grünwald-Park,656 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94486,94486,POINT (16.327418852419974 48.21010140956497),Richard-Wagner-Park,587 m²,Hundezone,01 4000 8042,"Metallzaun 0,5 m, Stabilgitterzaun 1,6 m",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94487,94487,POINT (16.442910986282488 48.25827044415628),Ingeborg-Bachmann-Park,420 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94488,94488,POINT (16.373538922128176 48.24445631769474),Forsthauspark,2392 m²,Hundeauslaufplatz,01 4000 8042,keine Einfriedung,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94489,94489,POINT (16.384276668101354 48.23893031841095),Allerheiligenpark,2272 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94490,94490,POINT (16.383976224491263 48.16774461297077),Alfred-Böhm-Park,2674 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94491,94491,POINT (16.399586796235873 48.24898085114457),Parkanlage Angeliwiese,14552 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94492,94492,POINT (16.382731172295937 48.26851261838736),Parkanlage Überfuhrstraße  ,2419 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94493,94493,POINT (16.352246823966045 48.197945100213865),Esterházypark,433 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94494,94494,POINT (16.327268321457154 48.1819868268459),Theresienbadpark,477 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m 2 Schwingflügeltüren,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94495,94495,POINT (16.34375761676781 48.15233337749841),Draschepark,50008 m²,Hundeauslaufplatz,01 4000 8042,keine Angabe,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94496,94496,POINT (16.24955765326228 48.20214476982344),Ferdinand-Wolf-Park,2641 m²,Hundezone,01 4000 8042,keine Angabe,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94497,94497,POINT (16.252454502409854 48.14590010433852),Hundeauslauf Anton-Krieger-Gasse (MA49),6320 m²,Hundeauslaufplatz,01 4000 8042,keine Angabe,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94498,94498,POINT (16.39420197834907 48.219367566013844),Venediger-Au-Park,1803 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94499,94499,POINT (16.378518227419477 48.179507803926),Humboldtpark,230 m²,Hundezone,01 4000 8042,"Chestnutzaun, Stabilgitter, Sezzessionsgitter",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94500,94500,POINT (16.361002124202898 48.243386815342596),Wertheimsteinpark,1485 m²,Hundeauslaufplatz,01 4000 8042,keine Angabe,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94501,94501,POINT (16.361624979730077 48.206185195374744),Heldenplatz,904 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94502,94502,POINT (16.39499156296016 48.215115851095995),Prater - Laufbergerwiese,1020 m²,Hundezone,01 4000 8042,"Stabilgitterzaun 1,2 m",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94503,94503,POINT (16.45560571444649 48.15146397630357),keine Angabe,1551 m²,Hundeauslaufplatz,01 4000 8042,Wildzaun,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94504,94504,POINT (16.413105539327827 48.248209598212355),Parkanlage Mühlschüttel,402 m²,Hundezone,01 4000 8042,Stabilgitter 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94505,94505,POINT (16.33821186644649 48.167811133624575),keine Angabe,1788 m²,Hundeauslaufplatz,01 4000 8042,keine Angabe,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94506,94506,POINT (16.34675985830713 48.14106772542535),keine Angabe,1900 m²,Hundezone,01 4000 8042,keine Angabe,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94507,94507,POINT (16.307733782660012 48.122382808918175),keine Angabe,3057 m²,Hundeauslaufplatz,01 4000 8042,keine Angabe,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94508,94508,POINT (16.339047264932848 48.18137558278605),Steinbauerpark,507 m²,Hundezone,01 4000 8042,"Stabilgitterzaun 1m und 4m, 1 Schwingflügeltür, 1 Tor",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94509,94509,POINT (16.355517938196726 48.162696626048465),keine Angabe,8736 m²,Hundeauslaufplatz,01 4000 8042,keine Angabe,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94510,94510,POINT (16.4922353074964 48.2486839580513),Feuerwehrspielplatz,953 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94511,94511,POINT (16.51432971460629 48.20154040576865),keine Angabe,3346 m²,Hundezone,01 4000 8042,keine Angabe,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94512,94512,POINT (16.43739362177249 48.25500469004491),keine Angabe,1804 m²,Hundezone,01 4000 8042,keine Angabe,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
